score_full	country	S2	S5	S26	S27	education	age
25.25	US	2	4	2	5	3	54
20.8	US	4	4	3	1	2	16
32.55	US	5	1	4	5	4	32
16.65	IN	5	5	1	1	4	24
39.65	US	2	1	3	3	3	63
31.2	US	4	1	0	2	3	51
16.25	AU	4	1	4	4	2	40
19.45	CH	2	3	3	3	4	45
43.65	GB	5	1	3	1	3	71
32.25	US	4	4	4	2	1	14
23.55	US	4	4	3	3	2	35
24.6	CA	2	1	5	5	2	21
26.6	EE	4	2	3	2	2	38
0.4	SG	3	0	5	5	3	33
42.65	US	5	3	4	3	2	49
31.95	AE	3	2	2	3	4	27
39.65	GB	3	4	2	2	4	29
45	US	1	1	1	3	4	54
33.9	US	2	3	2	4	2	22
22.4	GB	2	3	3	4	2	19
19.75	US	5	1	1	1	2	41
36.3	US	1	2	2	4	4	51
28.55	MX	3	1	2	5	2	21
31.65	US	4	2	2	4	3	24
40.95	US	4	2	1	4	3	61
29.85	US	2	2	3	2	2	17
25.8	US	1	1	1	1	1	13
38.25	US	3	3	2	1	2	64
40.65	US	1	5	4	5	3	51
24.55	FR	5	1	5	5	2	15
40.95	US	3	5	2	4	4	49
40.65	US	4	2	1	1	2	19
22.8	US	4	3	1	4	3	42
23.4	US	2	4	2	5	3	52
23.8	US	2	3	2	4	3	26
37.6	US	3	4	1	5	4	59
27.45	IE	2	5	2	4	1	17
38.3	CA	4	2	3	3	4	51
38.6	US	3	3	2	4	4	72
39.95	CA	4	2	1	5	4	54
35.95	US	4	2	2	2	2	49
37.95	US	3	5	2	4	3	23
40.95	MY	5	2	4	5	3	26
29.25	US	5	1	4	2	1	17
39.6	US	3	3	2	5	2	59
30.6	IQ	0	0	0	0	3	36
16.85	RO	2	2	3	3	1	14
35.6	NZ	2	5	4	5	2	19
36.6	US	3	5	2	2	3	34
22.9	IN	4	4	2	3	3	37
35.65	US	2	2	2	3	3	27
36.6	US	3	4	1	3	3	39
25.8	US	5	5	5	5	1	15
31.2	US	1	1	1	3	3	43
37.95	US	4	5	1	2	3	20
12.85	PL	1	2	2	3	2	16
45	US	4	4	1	4	3	59
19.35	AU	1	3	2	2	2	16
18.45	AU	5	1	3	4	1	17
13.6	AU	4	3	3	4	2	16
41.3	US	4	1	1	2	4	69
29.95	CA	4	2	2	4	2	17
36.25	US	4	1	1	1	3	56
36.6	CA	2	2	0	4	2	20
39.6	CA	2	4	1	5	3	31
38.25	US	3	4	3	4	2	26
12.05	GB	2	4	3	4	1	16
26.25	KE	1	4	4	4	3	29
9.5	IN	1	5	3	1	3	20
37.25	US	1	5	4	4	2	33
15.1	SG	1	5	5	5	4	54
12.2	IN	5	2	5	1	4	21
38.3	US	4	3	2	3	3	34
28.8	US	4	5	4	3	2	20
42.65	US	2	2	2	4	3	30
39.6	US	3	3	2	3	4	72
32.95	GB	5	1	4	5	2	18
29.9	CA	2	2	3	3	2	47
34.9	AU	3	3	3	3	2	23
24.15	US	1	1	2	3	1	16
26.25	US	3	1	1	3	3	37
45	CA	5	3	4	5	2	38
25.5	US	3	1	3	2	3	22
40.3	FR	2	3	4	4	3	28
39.3	IN	1	1	0	5	3	24
40.95	BR	2	1	3	2	4	24
40.3	US	1	1	2	5	3	66
34.9	GB	3	3	2	5	3	45
26.55	US	2	3	2	4	3	30
16.75	GB	1	1	4	3	2	31
37.65	US	2	1	4	3	2	25
29.9	CA	4	5	1	4	1	13
40.3	US	2	1	1	3	4	36
45	US	4	4	1	4	4	56
32.55	US	3	1	1	5	4	26
37.65	AU	2	2	2	2	2	73
17.7	US	1	5	2	4	2	23
-9.6	US	4	4	3	1	4	45
10.2	IN	1	5	5	1	4	35
30.9	US	1	1	3	4	3	21
26.2	GB	3	4	4	5	4	42
16.85	BR	4	4	4	3	2	19
34.9	US	1	1	1	5	3	19
45	GB	3	1	1	4	4	41
30.55	EU	5	4	3	4	3	23
45	US	5	1	1	1	4	54
32.25	US	1	1	2	2	3	66
26.1	ES	1	1	2	1	4	29
39.6	US	2	5	1	1	4	64
39.95	US	4	4	4	3	1	16
33.6	US	3	5	2	5	3	45
27.45	US	4	2	2	4	2	16
13.1	RO	1	2	1	2	3	47
45	RO	3	1	3	1	3	48
30.85	EU	1	4	1	2	3	43
31.9	US	2	4	3	5	1	32
31.5	US	3	1	2	1	2	61
33.25	RO	4	3	2	2	4	50
13.8	RO	3	3	3	3	3	26
26.2	US	4	2	2	3	3	35
38.6	US	2	2	2	2	4	27
30.25	CA	5	3	4	5	2	18
40.95	US	4	4	2	2	2	35
32.2	US	1	1	2	1	3	22
30.6	AU	1	1	2	3	3	64
33.9	US	3	4	2	3	2	20
37.6	US	3	4	3	4	2	19
44	US	5	1	5	5	2	72
17.8	US	3	5	2	3	1	16
27.55	US	2	4	2	2	3	21
27.9	US	3	1	1	3	4	36
11.6	NG	3	5	5	3	3	35
30.6	RO	1	1	2	1	4	42
32.6	GB	3	5	4	4	2	18
40.3	US	3	3	2	3	3	22
35.55	US	2	1	2	4	3	27
18.2	NG	1	1	5	1	3	32
41.3	US	3	4	3	2	2	20
42.65	US	3	2	1	3	2	20
42.65	US	4	1	1	5	3	27
39.6	US	3	4	1	4	3	30
39.65	US	2	1	1	5	4	61
36.9	SG	1	1	1	5	2	30
39.6	SG	1	1	1	5	2	25
45	ID	1	1	1	5	2	55
43	US	1	5	1	4	4	32
36.25	US	2	1	1	5	4	39
16.75	SE	1	2	5	5	4	25
30.55	AU	1	1	4	5	3	41
32.6	US	4	4	3	4	2	23
26.1	US	1	1	2	2	2	50
26.55	US	1	5	1	5	4	42
41.65	US	1	1	1	4	3	72
40.95	US	3	2	3	5	2	26
32.6	US	3	4	2	4	2	57
36.9	GB	1	1	3	5	4	48
26.95	AR	3	4	2	1	2	18
12.15	US	3	1	5	1	1	15
22.8	US	4	3	2	4	3	29
24.2	GB	2	4	2	4	2	17
30.25	CH	1	4	1	3	3	44
28.25	US	5	5	1	1	2	27
19.65	US	4	1	4	3	1	14
21.3	US	4	1	3	2	1	15
21.55	US	3	5	4	2	1	14
26.25	US	5	3	2	4	3	24
44	AU	2	4	1	5	3	31
25.9	US	2	4	3	4	1	15
36.9	US	2	2	1	3	4	76
32.95	RO	4	5	3	4	4	33
21.8	US	5	5	1	1	1	13
31.55	RO	2	4	1	4	4	28
12.5	RO	1	1	3	5	3	21
18.9	NL	2	4	4	1	3	38
28.3	BA	5	3	4	2	2	20
15.45	US	4	4	5	3	2	20
23.55	RO	5	2	5	4	1	13
29.6	US	3	1	3	4	2	23
30.5	SG	4	5	2	5	2	17
21.85	US	4	4	4	2	2	15
21.3	ES	4	5	4	3	2	19
28	AR	3	1	3	3	2	21
26.55	GB	2	1	2	2	3	37
32.2	US	5	1	3	4	2	23
10.4	US	3	5	4	3	1	15
22.05	US	1	5	1	2	3	47
36.6	BR	4	1	4	5	2	16
32.6	US	4	4	2	3	4	35
40.95	US	1	4	1	4	2	53
37.6	US	4	1	3	4	2	20
31.6	US	4	2	4	5	1	15
15.8	US	5	3	3	3	1	13
20.5	ID	4	1	2	3	2	18
19.35	US	4	5	4	4	1	17
21.25	US	3	2	3	3	1	15
30.95	CA	3	4	2	2	1	15
36.25	US	5	3	5	5	3	30
22.55	US	5	5	3	3	2	18
34.3	US	4	3	4	4	2	20
36.6	US	3	4	2	2	3	24
28.15	BG	4	1	3	5	1	17
17.2	PH	3	4	3	2	3	32
39.6	ZA	1	4	1	1	2	58
21.8	US	4	5	4	4	1	15
28.25	DE	3	4	3	4	2	52
13.25	BD	5	1	5	1	4	28
28.25	US	3	1	4	5	4	34
42.65	US	2	4	3	4	4	54
19.85	US	4	5	2	4	4	41
28.25	GB	4	4	3	4	1	16
39.95	US	1	3	1	1	3	55
40.95	GB	2	1	1	1	2	18
33.3	US	3	1	2	5	4	45
14.6	AU	4	5	4	1	3	20
17.85	IT	4	1	5	4	2	21
37.95	US	4	1	3	3	2	26
39.6	GB	3	1	2	2	2	46
35.25	US	3	4	2	4	4	24
29.2	US	2	5	3	4	2	25
26.45	GB	1	5	2	4	2	17
25.6	GB	4	2	4	3	2	18
19.6	IE	5	5	2	3	1	16
43.65	US	1	1	1	4	3	55
13.55	US	2	4	4	2	1	13
27.55	US	4	5	1	4	2	18
26.2	US	4	4	1	3	3	24
35.9	US	3	3	2	1	2	57
32.3	CA	2	5	2	3	3	21
45	US	3	1	2	4	3	56
38.6	NL	2	1	1	4	3	43
18.95	BN	1	3	2	1	3	28
24.85	SG	3	1	1	1	1	18
39.3	ZA	1	1	1	4	4	66
37.6	DE	3	1	5	4	3	28
38.25	GB	2	3	2	3	4	45
20.6	US	1	4	2	4	2	19
33.95	US	2	5	2	3	3	47
39.6	US	1	1	1	1	4	61
21.1	US	2	1	3	3	3	26
41.65	US	2	5	2	3	3	40
25.55	US	1	1	2	3	3	48
37.65	US	3	1	2	4	3	28
34.9	CL	3	2	2	3	4	38
34.2	US	2	1	2	4	4	31
36.9	AU	3	4	4	0	4	62
31.9	AU	4	4	4	5	3	20
24.1	BR	3	4	1	1	2	33
30.15	AU	2	1	1	2	4	40
13.55	PK	1	2	3	1	2	20
39.3	NL	4	2	2	5	3	46
1.7	US	5	1	5	1	2	19
22.2	MY	4	5	2	5	3	25
42.3	US	4	1	2	4	2	41
15.25	US	3	4	4	3	1	13
35.55	GU	1	3	1	4	2	43
42.3	US	5	1	5	5	3	39
36.9	GB	4	1	1	5	4	66
29.5	GB	1	3	2	5	1	13
39.3	CA	4	4	2	4	3	33
37.65	GB	3	1	1	3	4	57
27.45	US	5	3	1	1	3	58
36.9	GB	3	4	2	1	2	17
40.95	US	3	1	1	1	3	47
22.65	CA	4	3	1	1	2	18
34.6	US	5	2	1	5	3	30
11.85	PH	2	3	4	4	2	18
35.65	US	4	1	2	2	2	25
28.5	US	1	5	1	3	2	50
30.95	US	2	3	1	1	2	19
29.2	US	2	3	2	3	2	16
39.6	US	4	1	3	3	3	49
43.65	US	1	4	1	5	3	26
42.3	US	4	1	1	4	4	41
14.55	PH	4	5	4	3	3	32
18.05	US	1	1	1	1	2	35
30.95	US	5	1	4	4	3	26
38.95	NZ	3	1	1	4	4	47
20.6	RO	3	3	2	1	4	34
26.3	US	2	3	2	3	1	36
32.25	PL	2	4	2	2	4	56
38.65	GB	3	1	2	4	4	58
21.45	PT	2	4	4	4	3	29
38.25	US	3	1	3	3	3	28
29.5	GB	3	1	4	4	2	21
22.05	US	1	5	2	1	4	39
19.15	HR	4	1	5	4	2	20
9.4	IN	1	5	3	1	4	21
34.2	US	2	1	1	1	2	34
26.15	US	2	3	1	3	2	17
40.95	US	3	2	2	3	2	54
36.3	US	1	1	1	3	3	70
36.65	US	5	4	3	5	2	59
20.6	SG	5	5	2	2	2	16
29.9	US	2	4	2	5	1	14
12.85	ID	1	4	3	4	4	23
38.25	US	2	2	2	3	4	50
45	KE	5	1	2	5	4	49
16.1	SG	4	3	3	3	2	15
36.3	US	4	4	4	5	4	30
39.95	US	4	4	3	4	2	20
38.25	US	4	5	4	2	3	24
34.2	CA	1	1	1	1	4	73
36.9	US	4	1	4	5	2	17
45	US	1	4	1	1	4	65
30.2	IT	2	3	1	4	4	34
-15.75	US	4	2	4	5	2	30
38.6	US	4	2	4	5	2	30
39.6	GB	3	3	3	4	2	32
34.95	US	3	2	2	4	3	47
34.65	AU	3	5	3	1	2	18
18.6	US	5	1	2	5	2	15
38.25	US	2	4	2	4	3	53
30.85	US	4	2	3	5	3	37
21.45	GB	4	3	5	4	2	37
25.25	IN	1	1	1	2	4	34
28.8	NL	2	2	3	3	4	58
13.9	US	4	5	4	4	1	15
24.5	IL	1	1	1	3	2	56
32.25	GB	5	1	4	4	2	19
36.25	US	4	2	3	4	3	30
32.25	US	2	4	1	3	3	20
21.8	PH	5	5	4	4	3	24
27.45	GB	4	4	3	4	2	40
26.85	BG	3	3	3	1	4	34
21.25	PL	2	2	4	4	2	19
40.95	US	3	4	2	4	3	24
32.55	US	4	4	2	5	3	38
40.95	US	1	4	1	1	3	54
24.5	GB	1	1	1	2	2	50
34.95	AU	2	1	4	4	3	47
28.3	US	4	1	4	2	2	19
22.4	US	5	2	3	4	2	17
25.45	PH	1	5	3	1	2	25
39.6	US	1	1	1	4	4	63
42.3	GB	1	2	1	5	4	60
17.15	AU	2	2	3	2	2	16
